USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
CO	0800320	02407696	Acres Green CDP	57	S	1563397	0	       0.604	       0.000	 39.555780	-104.895715                                                                                                     
CO	0800620	02583206	Aetna Estates CDP	57	S	339480	0	       0.131	       0.000	 39.738127	-104.673234                                                                                                    
CO	0800760	02412339	Aguilar town	43	A	1016073	0	       0.392	       0.000	 37.403626	-104.655036                                                                                                        
CO	0800870	02407701	Air Force Academy CDP	57	S	25872590	0	       9.989	       0.000	 38.994185	-104.863922                                                                                              
CO	0800925	02412340	Akron town	43	A	6797251	0	       2.624	       0.000	 40.164382	-103.220685                                                                                                          
CO	0801090	02409673	Alamosa city	25	A	19078754	322229	       7.366	       0.124	 37.475041	-105.875314                                                                                                  
CO	0801145	02407709	Alamosa East CDP	57	S	8396563	0	       3.242	       0.000	 37.476689	-105.839676                                                                                                    
CO	0801420	02407720	Allenspark CDP	57	S	30419903	50304	      11.745	       0.019	 40.231281	-105.517986                                                                                                 
CO	0801530	02412350	Alma town	43	A	932517	4924	       0.360	       0.002	 39.285942	-106.066319                                                                                                         
CO	0801640	02583207	Alpine CDP	57	S	2702665	0	       1.044	       0.000	 37.687792	-106.586181                                                                                                          
CO	0801740	02583208	Altona CDP	57	S	4366480	149282	       1.686	       0.058	 40.121928	-105.296165                                                                                                     
CO	0801915	02583209	Amherst CDP	57	S	1174532	0	       0.453	       0.000	 40.683158	-102.172609                                                                                                         
CO	0802355	02412370	Antonito town	43	A	1044589	0	       0.403	       0.000	 37.076605	-106.010222                                                                                                       
CO	0802575	02407749	Applewood CDP	57	S	10581441	1091004	       4.086	       0.421	 39.747422	-105.172968                                                                                                
CO	0802905	02407753	Arboles CDP	57	S	13386498	2661213	       5.169	       1.028	 37.020861	-107.421744                                                                                                  
CO	0803015	02407757	Aristocrat Ranchettes CDP	57	S	4834627	0	       1.867	       0.000	 40.109600	-104.754950                                                                                           
CO	0803235	02411647	Arriba town	43	A	1139809	0	       0.440	       0.000	 39.284058	-103.273902                                                                                                         
CO	0803455	02409737	Arvada city	25	A	99278472	1614872	      38.332	       0.624	 39.833728	-105.150306                                                                                                  
CO	0803620	02409743	Aspen city	25	A	10048083	0	       3.880	       0.000	 39.194951	-106.837002                                                                                                         
CO	0803730	02407775	Aspen Park CDP	57	S	6438068	17149	       2.486	       0.007	 39.542654	-105.296307                                                                                                  
CO	0803840	02407778	Atwood CDP	57	S	2677997	0	       1.034	       0.000	 40.550477	-103.274598                                                                                                          
CO	0803950	02411653	Ault town	43	A	2042581	0	       0.789	       0.000	 40.583454	-104.733962                                                                                                           
CO	0804000	02409757	Aurora city	25	A	398415164	1757038	     153.829	       0.678	 39.688002	-104.689740                                                                                                 
CO	0804110	02411658	Avon town	43	A	20807494	186587	       8.034	       0.072	 39.641797	-106.515877                                                                                                     
CO	0804165	02407788	Avondale CDP	57	S	3061775	20790	       1.182	       0.008	 38.231836	-104.340881                                                                                                    
CO	0804620	02583210	Bark Ranch CDP	57	S	2232409	24680	       0.862	       0.010	 40.117803	-105.440718                                                                                                  
CO	0804935	02411665	Basalt town	43	A	5177387	20308	       1.999	       0.008	 39.358174	-107.018557                                                                                                     
CO	0805120	02407805	Battlement Mesa CDP	57	S	29973279	616396	      11.573	       0.238	 39.452767	-108.003940                                                                                           
CO	0805265	02411667	Bayfield town	43	A	3733464	0	       1.441	       0.000	 37.235248	-107.594814                                                                                                       
CO	0806090	02411676	Bennett town	43	A	15004934	15567	       5.793	       0.006	 39.745990	-104.442841                                                                                                   
CO	0806172	02407830	Berkley CDP	57	S	9441072	1230826	       3.645	       0.475	 39.807493	-105.029129                                                                                                   
CO	0806255	02411681	Berthoud town	43	A	31154707	327478	      12.029	       0.126	 40.284667	-104.965504                                                                                                 
CO	0806530	02411684	Bethune town	43	A	419628	0	       0.162	       0.000	 39.303822	-102.423414                                                                                                         
CO	0806602	02407835	Beulah Valley CDP	57	S	17791316	5052	       6.869	       0.002	 38.052867	-104.979195                                                                                               
CO	0806970	02407856	Black Forest CDP	57	S	260633591	151490	     100.631	       0.058	 39.063647	-104.679610                                                                                             
CO	0807025	02409856	Black Hawk city	25	A	5037200	0	       1.945	       0.000	 39.801069	-105.489224                                                                                                     
CO	0807190	02411696	Blanca town	43	A	4624964	0	       1.786	       0.000	 37.439281	-105.513526                                                                                                         
CO	0807245	02583212	Blende CDP	57	S	3488145	178567	       1.347	       0.069	 38.252726	-104.566267                                                                                                     
CO	0807410	02411700	Blue River town	43	A	6513599	257862	       2.515	       0.100	 39.448494	-106.036774                                                                                                
CO	0807420	02583213	Blue Sky CDP	57	S	92706	0	       0.036	       0.000	 40.300094	-103.805528                                                                                                          
CO	0807571	02411706	Bonanza town	43	A	1130609	0	       0.437	       0.000	 38.296607	-106.141873                                                                                                        
CO	0807580	02583214	Bonanza Mountain Estates CDP	57	S	435907	0	       0.168	       0.000	 39.976890	-105.479577                                                                                         
CO	0807795	02411709	Boone town	43	A	936458	25306	       0.362	       0.010	 38.250445	-104.260792                                                                                                       
CO	0807850	02409883	Boulder city	25	A	64355595	2638427	      24.848	       1.019	 40.027435	-105.251945                                                                                                 
CO	0808070	02411713	Bow Mar town	43	A	1773222	391296	       0.685	       0.151	 39.626594	-105.050914                                                                                                   
CO	0808290	02583215	Brandon CDP	57	S	304291	0	       0.117	       0.000	 38.446400	-102.441155                                                                                                          
CO	0808345	02411720	Branson town	43	A	634018	0	       0.245	       0.000	 37.015493	-103.883777                                                                                                         
CO	0808400	02411722	Breckenridge town	43	A	15525860	0	       5.995	       0.000	 39.499619	-106.043292                                                                                                  
CO	0808530	02583216	Brick Center CDP	57	S	15023214	52255	       5.800	       0.020	 39.591231	-104.460579                                                                                               
CO	0808675	02409911	Brighton city	25	A	53771896	780255	      20.761	       0.301	 39.964790	-104.796581                                                                                                 
CO	0809115	02411733	Brookside town	43	A	1204057	0	       0.465	       0.000	 38.413543	-105.191060                                                                                                      
CO	0809280	02409919	Broomfield city	25	A	85477515	1412735	      33.003	       0.545	 39.953302	-105.052038                                                                                              
CO	0809555	02409926	Brush city	25	A	6597824	0	       2.547	       0.000	 40.258136	-103.632160                                                                                                          
CO	0810105	02411739	Buena Vista town	43	A	8946934	2195	       3.454	       0.001	 38.829332	-106.139515                                                                                                 
CO	0810600	02409946	Burlington city	25	A	5407275	0	       2.088	       0.000	 39.304491	-102.271463                                                                                                     
CO	0810985	02407933	Byers CDP	57	S	29656546	1355827	      11.450	       0.523	 39.709435	-104.212848                                                                                                    
CO	0811260	02413149	Calhan town	43	A	2255870	0	       0.871	       0.000	 39.034438	-104.299139                                                                                                         
CO	0811645	02413155	Campo town	43	A	373692	0	       0.144	       0.000	 37.104711	-102.578798                                                                                                           
CO	0811810	02409976	Cañon City city	25	A	32405088	31525	      12.512	       0.012	 38.441889	-105.220891                                                                                                
CO	0811975	02583218	Capulin CDP	57	S	2452765	0	       0.947	       0.000	 37.281886	-106.104946                                                                                                         
CO	0812045	02413166	Carbondale town	43	A	5294712	0	       2.044	       0.000	 39.394616	-107.214475                                                                                                     
CO	0812325	02407982	Cascade-Chipita Park CDP	57	S	34961070	22625	      13.499	       0.009	 38.948110	-104.997823                                                                                       
CO	0812387	02500981	Castle Pines city	25	A	24779341	0	       9.567	       0.000	 39.462512	-104.870620                                                                                                  
CO	0812393	02407985	Castle Pines Village CDP	57	S	11384898	0	       4.396	       0.000	 39.442052	-104.897150                                                                                           
CO	0812415	02413179	Castle Rock town	43	A	87707045	0	      33.864	       0.000	 39.376089	-104.853487                                                                                                   
CO	0812450	02583219	Cathedral CDP	57	S	55112611	0	      21.279	       0.000	 38.083629	-107.030681                                                                                                      
CO	0812460	02583220	Catherine CDP	57	S	2249378	0	       0.868	       0.000	 39.403756	-107.144961                                                                                                       
CO	0812470	02583221	Cattle Creek CDP	57	S	3355025	0	       1.295	       0.000	 39.466634	-107.259917                                                                                                    
CO	0812635	02413184	Cedaredge town	43	A	5065013	0	       1.956	       0.000	 38.894137	-107.925498                                                                                                      
CO	0812815	02409422	Centennial city	25	A	74854259	381310	      28.901	       0.147	 39.590568	-104.869118                                                                                               
CO	0812855	02413186	Center town	43	A	2139228	0	       0.826	       0.000	 37.751351	-106.110195                                                                                                         
CO	0812910	02409427	Central City city	25	A	6343761	48	       2.449	       0.000	 39.795790	-105.514835                                                                                                  
CO	0812945	02583222	Chacra CDP	57	S	2449808	98604	       0.946	       0.038	 39.578397	-107.454907                                                                                                      
CO	0813460	02413193	Cheraw town	43	A	409966	0	       0.158	       0.000	 38.108104	-103.510926                                                                                                          
CO	0813590	02629984	Cherry Creek CDP	57	S	4346478	0	       1.678	       0.000	 39.609425	-104.864448                                                                                                    
CO	0813845	02409443	Cherry Hills Village city	25	A	16067780	185297	       6.204	       0.072	 39.637418	-104.947470                                                                                     
CO	0814175	02413197	Cheyenne Wells town	43	A	2770153	0	       1.070	       0.000	 38.819202	-102.352030                                                                                                 
CO	0814587	02407622	Cimarron Hills CDP	57	S	15683486	8832	       6.055	       0.003	 38.859119	-104.699571                                                                                              
CO	0814765	02412384	City of Creede town	43	A	2372705	0	       0.916	       0.000	 37.849102	-106.925415                                                                                                 
CO	0815165	02407634	Clifton CDP	57	S	15748875	179408	       6.081	       0.069	 39.076582	-108.460316                                                                                                   
CO	0815302	02407642	Coal Creek CDP	57	S	24316324	38964	       9.389	       0.015	 39.904693	-105.372136                                                                                                 
CO	0815330	02413219	Coal Creek town	43	A	3294205	0	       1.272	       0.000	 38.362038	-105.141782                                                                                                     
CO	0815440	02583223	Coaldale CDP	57	S	77314243	0	      29.851	       0.000	 38.356290	-105.815473                                                                                                       
CO	0815550	02413221	Cokedale town	43	A	530771	0	       0.205	       0.000	 37.144223	-104.621590                                                                                                        
CO	0815605	02413226	Collbran town	43	A	1531198	0	       0.591	       0.000	 39.240016	-107.963956                                                                                                       
CO	0815825	02583224	Colona CDP	57	S	156858	0	       0.061	       0.000	 38.327510	-107.779306                                                                                                           
CO	0815935	02407647	Colorado City CDP	57	S	35471375	285743	      13.696	       0.110	 37.936651	-104.845601                                                                                             
CO	0816000	02410198	Colorado Springs city	25	A	504711363	947172	     194.870	       0.366	 38.867255	-104.760749                                                                                        
CO	0816110	02407649	Columbine CDP	57	S	17173298	317891	       6.631	       0.123	 39.588586	-105.069180                                                                                                 
CO	0816385	02413232	Columbine Valley town	43	A	2653384	37218	       1.024	       0.014	 39.599580	-105.030771                                                                                           
CO	0816465	02583225	Comanche Creek CDP	57	S	56235832	196829	      21.713	       0.076	 39.606105	-104.335815                                                                                            
CO	0816495	02410212	Commerce City city	25	A	90419903	1066927	      34.911	       0.412	 39.882968	-104.795452                                                                                           
CO	0816715	02631317	Conejos CDP	57	S	1254025	0	       0.484	       0.000	 37.087257	-106.015993                                                                                                         
