GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014
1620000US0800760,0800760,"Aguilar town, Colorado",538,538,535,520,519,496,479
1620000US0800925,0800925,"Akron town, Colorado",1702,1702,1699,1700,1678,1693,1694
1620000US0801090,0801090,"Alamosa city, Colorado",8780,8828,9268,9393,9423,9550,9531
1620000US0801530,0801530,"Alma town, Colorado",270,270,271,269,269,271,275
1620000US0802355,0802355,"Antonito town, Colorado",781,781,782,784,779,776,775
1620000US0803235,0803235,"Arriba town, Colorado",193,193,193,193,193,191,194
1620000US0803455,0803455,"Arvada city, Colorado",106433,106474,106635,107578,109690,111600,113574
1620000US0803620,0803620,"Aspen city, Colorado",6658,6663,6662,6639,6670,6725,6805
1620000US0803950,0803950,"Ault town, Colorado",1519,1519,1526,1540,1558,1579,1603
1620000US0804000,0804000,"Aurora city, Colorado",325078,324688,325977,332633,339302,346201,353108
1620000US0804110,0804110,"Avon town, Colorado",6447,6391,6375,6332,6355,6403,6447
1620000US0804935,0804935,"Basalt town, Colorado",3857,3856,3849,3820,3828,3856,3919
1620000US0805265,0805265,"Bayfield town, Colorado",2333,2333,2354,2385,2431,2488,2533
1620000US0806090,0806090,"Bennett town, Colorado",2308,2305,2314,2348,2383,2416,2443
1620000US0806255,0806255,"Berthoud town, Colorado",5105,5122,5139,5200,5287,5406,5807
1620000US0806530,0806530,"Bethune town, Colorado",237,237,236,241,241,239,240
1620000US0807025,0807025,"Black Hawk city, Colorado",118,118,118,118,118,120,126
1620000US0807190,0807190,"Blanca town, Colorado",385,385,385,394,385,373,372
1620000US0807410,0807410,"Blue River town, Colorado",849,849,851,847,858,870,882
1620000US0807571,0807571,"Bonanza town, Colorado",16,16,16,16,16,16,16
1620000US0807795,0807795,"Boone town, Colorado",339,339,340,341,342,342,342
1620000US0807850,0807850,"Boulder city, Colorado",97385,97468,98542,100852,101986,103470,105112
1620000US0808070,0808070,"Bow Mar town, Colorado",866,866,868,880,891,905,921
1620000US0808345,0808345,"Branson town, Colorado",74,74,74,72,72,69,67
1620000US0808400,0808400,"Breckenridge town, Colorado",4540,4527,4537,4520,4576,4664,4749
1620000US0808675,0808675,"Brighton city, Colorado",33352,33780,33926,34533,35132,35815,36765
1620000US0809115,0809115,"Brookside town, Colorado",233,233,233,237,240,240,243
1620000US0809280,0809280,"Broomfield city, Colorado",55889,55860,56266,57433,58992,60306,62138
1620000US0809555,0809555,"Brush city, Colorado",5463,5473,5469,5531,5502,5496,5466
1620000US0810105,0810105,"Buena Vista town, Colorado",2617,2617,2616,2642,2660,2727,2734
1620000US0810600,0810600,"Burlington city, Colorado",4254,4254,4240,4118,4038,4003,4014
1620000US0811260,0811260,"Calhan town, Colorado",780,780,786,795,799,800,797
1620000US0811645,0811645,"Campo town, Colorado",109,109,109,110,108,107,105
